Date,DIA,EEM,IAU,QQQ,SMH,SPY,TQQQ,VOO,VTI,VWO,XLE,XLF,XLK,XLV,XLY
2018-04-06,207.98739624023438,40.1551628112793,25.6200008392334,149.6426544189453,46.463687896728516,232.14328002929688,10.70309829711914,213.2012176513672,119.93193054199219,37.2554817199707,49.46359634399414,23.773412704467773,59.73756790161133,71.24114227294922,94.27295684814453
2018-04-09,208.5092315673828,40.19780731201172,25.68000030517578,150.6935577392578,46.78135299682617,233.28729248046875,10.917289733886719,214.06788635253906,120.33507537841797,37.22319412231445,49.6986083984375,23.9046630859375,60.20390319824219,71.9457015991211,94.0482406616211
2018-04-10,212.23191833496094,40.98248291015625,25.760000228881836,154.01828002929688,48.21086120605469,236.99671936035156,11.63847827911377,217.59713745117188,122.28810119628906,37.91730880737305,51.3437385559082,24.263404846191406,61.686832427978516,73.15863800048828,95.19061279296875
2018-04-11,210.37933349609375,40.99954605102539,25.940000534057617,153.12979125976562,48.18750762939453,235.7543182373047,11.44273853302002,216.444580078125,121.72370147705078,37.965721130371094,51.879878997802734,23.97466278076172,61.323081970214844,72.56110382080078,94.90029907226562
2018-04-12,212.92764282226562,40.98248291015625,25.639999389648438,154.97369384765625,48.98634719848633,237.69386291503906,11.843842506408691,218.25833129882812,122.70915985107422,37.95765686035156,51.87250900268555,24.394657135009766,62.05990219116211,73.05162048339844,95.31230926513672
2018-04-13,211.85787963867188,40.573089599609375,25.81999969482422,154.1711883544922,48.528533935546875,236.99671936035156,11.668158531188965,217.65074157714844,122.35978698730469,37.56218719482422,52.44538116455078,24.027162551879883,61.85470199584961,73.01593780517578,94.77857971191406
2018-04-16,213.63214111328125,40.624267578125,25.860000610351562,155.34632873535156,48.62663650512695,238.94517517089844,11.925667762756348,219.41983032226562,123.38105010986328,37.594459533691406,52.98150634765625,24.13216209411621,62.33038330078125,73.59564208984375,95.490234375
2018-04-17,215.52825927734375,40.70956039428711,25.8799991607666,158.690185546875,49.51423645019531,241.50157165527344,12.688570976257324,221.77862548828125,124.68011474609375,37.62674331665039,53.18714141845703,24.13216209411621,63.48689270019531,74.16641998291016,97.26930236816406
2018-04-18,215.16294860839844,41.05924987792969,25.8799991607666,159.0149688720703,48.95364761352539,241.68035888671875,12.776815414428711,221.9037322998047,124.8503189086914,37.89309310913086,54.02438735961914,24.018409729003906,63.319026947021484,74.2288589477539,97.7281265258789
2018-04-19,214.4584197998047,40.8204345703125,25.860000610351562,157.55325317382812,46.77201461791992,240.33953857421875,12.429454803466797,220.68856811523438,124.16948699951172,37.68324279785156,54.09049987792969,24.38590431213379,62.6195068359375,73.60457611083984,97.41915893554688
2018-04-20,212.75453186035156,40.308685302734375,25.639999389648438,155.0596466064453,46.23478317260742,238.30162048339844,11.833413124084473,218.901611328125,123.1839599609375,37.23933792114258,53.83344268798828,24.394657135009766,61.75212860107422,73.21212005615234,96.42658996582031
2018-04-23,212.64146423339844,39.984580993652344,25.440000534057617,154.66799926757812,45.63681411743164,238.26589965820312,11.740358352661133,218.80331420898438,123.13920593261719,36.9891357421875,54.163936614990234,24.368408203125,61.52827072143555,73.49755096435547,96.63257598876953
2018-04-24,208.9342803955078,39.796939849853516,25.579999923706055,151.39097595214844,45.403236389160156,235.05712890625,10.991894721984863,215.81912231445312,121.66098022460938,36.81965255737305,53.5837287902832,24.210908889770508,60.45570755004883,72.944580078125,95.10631561279297
2018-04-25,209.4650115966797,39.48989486694336,25.3799991607666,151.57249450683594,45.17432403564453,235.63807678222656,11.0352144241333,216.37306213378906,121.79532623291016,36.54523468017578,54.009708404541016,24.193405151367188,60.46503829956055,73.27457427978516,95.49960327148438
2018-04-26,211.57102966308594,40.061344146728516,25.299999237060547,154.76351928710938,46.12266540527344,238.0335235595703,11.719501495361328,218.59783935546875,122.95105743408203,36.92457962036133,54.795536041259766,24.2021541595459,61.56559753417969,74.20209503173828,97.04459381103516
2018-04-27,211.42311096191406,40.308685302734375,25.420000076293945,154.85910034179688,45.82367706298828,238.2569580078125,11.746776580810547,218.83013916015625,123.03168487548828,37.11827850341797,54.215354919433594,24.237159729003906,61.45368194580078,74.50533294677734,97.48467254638672
2018-04-30,210.1959991455078,40.0186882019043,25.239999771118164,153.7603302001953,45.389225006103516,236.424560546875,11.496487617492676,217.04318237304688,122.13580322265625,36.868072509765625,54.20800018310547,24.018409729003906,61.052616119384766,73.36376190185547,97.10076904296875
2018-05-01,209.51731872558594,39.82252883911133,25.059999465942383,155.51820373535156,46.11798858642578,236.8447723388672,11.870316505432129,217.50779724121094,122.3238754272461,36.658241271972656,53.87751770019531,24.027162551879883,61.81741714477539,73.32807159423828,97.23186492919922
2018-05-02,208.0814208984375,39.506954193115234,25.059999465942383,154.60110473632812,45.78630447387695,235.25376892089844,11.663345336914062,216.02464294433594,121.61615753173828,36.41611099243164,54.09783935546875,23.755910873413086,61.75212860107422,72.3202896118164,96.56704711914062
2018-05-03,208.07273864746094,39.421661376953125,25.18000030517578,154.58200073242188,45.89841842651367,234.73532104492188,11.664148330688477,215.5153350830078,121.28472137451172,36.30310821533203,53.97297668457031,23.554670333862305,61.89202880859375,71.66923522949219,96.13631439208984
2018-05-04,211.04885864257812,39.60076904296875,25.239999771118164,157.5150146484375,47.08967971801758,237.77430725097656,12.320355415344238,218.37449645996094,122.85249328613281,36.48067092895508,54.237361907958984,23.860912322998047,63.06719207763672,72.24002075195312,97.40039825439453
2018-05-07,211.83209228515625,39.370479583740234,25.239999771118164,158.82386779785156,47.341941833496094,238.5787811279297,12.613164901733398,219.053466796875,123.39002990722656,36.383819580078125,54.31081771850586,24.018409729003906,63.505558013916016,72.13302612304688,97.7281265258789
2018-05-08,211.83209228515625,39.59223175048828,25.239999771118164,158.6615447998047,47.67362976074219,238.5787811279297,12.571450233459473,219.04458618164062,123.43485260009766,36.5694580078125,54.73679733276367,24.184654235839844,63.64544677734375,71.58897399902344,97.31613159179688
2018-05-09,213.55516052246094,39.66899871826172,25.200000762939453,160.3907470703125,48.35101318359375,240.8848114013672,12.992610931396484,221.1710205078125,124.59943389892578,36.61787414550781,55.85312271118164,24.54340171813965,64.42889404296875,71.99921417236328,97.65324401855469
2018-05-10,215.34786987304688,40.49632263183594,25.34000015258789,162.0531463623047,49.1545295715332,243.13723754882812,13.396923065185547,223.24395751953125,125.6834716796875,37.344268798828125,56.271751403808594,24.744651794433594,65.26829528808594,72.96240997314453,98.00904083251953
2018-05-11,216.2876739501953,40.4281005859375,25.299999237060547,161.9002685546875,48.776126861572266,243.87908935546875,13.356812477111816,223.78895568847656,125.93440246582031,37.21512985229492,56.352508544921875,24.727153778076172,65.17503356933594,74.05046081542969,98.21505737304688
2018-05-14,216.92300415039062,40.479270935058594,25.219999313354492,162.17733764648438,49.62635803222656,243.995361328125,13.416179656982422,224.0391082763672,125.99703216552734,37.32811737060547,56.74177551269531,24.709653854370117,65.16570281982422,74.541015625,98.40229034423828
2018-05-15,215.21731567382812,39.64341735839844,24.799999237060547,160.3811798095703,49.0704345703125,242.3149871826172,12.982179641723633,222.50234985351562,125.23554992675781,36.61787414550781,56.756439208984375,24.6658992767334,64.55014038085938,73.57779693603516,97.83113098144531
2018-05-16,215.79165649414062,40.24046325683594,24.780000686645508,161.44166564941406,49.76650619506836,243.33389282226562,13.221240043640137,223.44943237304688,125.84476470947266,37.13441848754883,56.95476150512695,24.709653854370117,64.83924865722656,73.9880599975586,98.64575958251953
2018-05-17,215.5915069580078,39.62635803222656,24.760000228881836,160.82070922851562,49.43949508666992,243.12838745117188,13.072029113769531,223.2617950439453,125.88059997558594,36.61787414550781,57.81404113769531,24.657150268554688,64.50350189208984,74.01481628417969,98.31803131103516
2018-05-18,215.553955078125,39.293724060058594,24.799999237060547,159.98948669433594,48.84152603149414,242.52044677734375,12.862649917602539,222.70782470703125,125.60284423828125,36.278892517089844,57.366031646728516,24.45590591430664,64.23302459716797,74.20209503173828,98.19631958007812
2018-05-21,218.11972045898438,39.53253936767578,24.81999969482422,160.8875732421875,49.542266845703125,244.34393310546875,13.087267875671387,224.3428955078125,126.54353332519531,36.51294708251953,57.95356750488281,24.63089942932129,64.79264831542969,74.27344512939453,98.7394027709961
